
pdr_avg_str
tx|rx->,60,70,80,90,100,
100,0.545623836127,0.895716945996,0.991620111732,1.0,1.0,

pdr_var_str
tx|rx->,60,70,80,90,100,
100,0.0368696273244,0.0125612081594,0.00994141364249,0.0,0.0,

send_avg_str
tx|rx->,60,70,80,90,100,
100,358.0,358.0,358.0,358.0,358.0,

send_var_str
tx|rx->,60,70,80,90,100,
100,0.0,0.0,0.0,0.0,0.0,

receive_avg_str
tx|rx->,60,70,80,90,100,
100,195.333333333,320.666666667,355.0,358.0,358.0,

receive_var_str
tx|rx->,60,70,80,90,100,
100,13.1993265821,4.49691252108,3.55902608401,0.0,0.0,

replication_avg_str
tx|rx->,60,70,80,90,100,
100,0.0,0.0,0.0,0.0,0.0,

replication_var_str
tx|rx->,60,70,80,90,100,
100,0.0,0.0,0.0,0.0,0.0,

elimination_avg_str
tx|rx->,60,70,80,90,100,
100,0.0,0.0,0.0,0.0,0.0,

elimination_var_str
tx|rx->,60,70,80,90,100,
100,0.0,0.0,0.0,0.0,0.0,

nrg_net_total_avg_str
tx|rx->,60,70,80,90,100,
100,55731.8479568,53467.4365845,54523.7249603,50846.0231583,49662.1882126,

nrg_net_total_var_str
tx|rx->,60,70,80,90,100,
100,2448.9747968,2104.87993043,323.215964327,2295.16322453,763.741627216,

nrg_net_avg_avg_str
tx|rx->,60,70,80,90,100,
100,15.5026002662,14.8685001524,15.1665437998,14.1435391261,13.8142387239,

nrg_net_avg_var_str
tx|rx->,60,70,80,90,100,
100,0.681216911489,0.583231509211,0.0899070832622,0.638432051329,0.21244551522,
